DATE,Completion,pet,gas,agua,FirstDate,ProdTotalDaysCum
1/01/2014,AL-13:C,416,610.47,32,1/12/1993,7367
1/02/2014,AL-13:C,401,622.35,32,1/12/1993,7395
1/03/2014,AL-13:C,411,615,33,1/12/1993,7426
1/04/2014,AL-13:C,411,602,33,1/12/1993,7456
1/05/2014,AL-13:C,429,641,31,1/12/1993,7487
1/06/2014,AL-13:C,415,587,33,1/12/1993,7517
1/07/2014,AL-13:C,415,660,35,1/12/1993,7548
1/08/2014,AL-13:C,421,595,33,1/12/1993,7579
1/09/2014,AL-13:C,408,595,35,1/12/1993,7609
1/10/2014,AL-13:C,355,542,28,1/12/1993,7640
1/11/2014,AL-13:C,405,580,32,1/12/1993,7670
1/12/2014,AL-13:C,447,644,45,1/12/1993,7701
1/01/2015,AL-13:C,433,641,43,1/12/1993,7732
1/02/2015,AL-13:C,386,550,32,1/12/1993,7760
1/03/2015,AL-13:C,402,615,37,1/12/1993,7791
1/04/2015,AL-13:C,393,579,33,1/12/1993,7821
1/05/2015,AL-13:C,465,649,39,1/12/1993,7852
1/06/2015,AL-13:C,372,597,30,1/12/1993,7882
1/07/2015,AL-13:C,396,601,36,1/12/1993,7913
1/08/2015,AL-13:C,400,624,34,1/12/1993,7944
1/09/2015,AL-13:C,342,586,27,1/12/1993,7974
1/10/2015,AL-13:C,426,1104,32,1/12/1993,8005
1/11/2015,AL-13:C,359,795,28,1/12/1993,8035
1/12/2015,AL-13:C,333,800,29,1/12/1993,8066
1/01/2016,AL-13:C,353,712,32,1/12/1993,8097
1/02/2016,AL-13:C,343,706,31,1/12/1993,8126
1/03/2016,AL-13:C,336,820.38,31,1/12/1993,8157
1/04/2016,AL-13:C,279,366.32,31,1/12/1993,8187
1/05/2016,AL-13:C,344,494.97,30,1/12/1993,8218
1/06/2016,AL-13:C,310,572,28,1/12/1993,8248
1/07/2016,AL-13:C,336,672,33,1/12/1993,8279
1/08/2016,AL-13:C,340,590,38,1/12/1993,8310
1/09/2016,AL-13:C,331,593,31,1/12/1993,8340
1/10/2016,AL-13:C,342,596,31,1/12/1993,8371
1/11/2016,AL-13:C,392,605,60,1/12/1993,8401
1/12/2016,AL-13:C,333,642,30,1/12/1993,8432
1/01/2017,AL-13:C,302,572,30,1/12/1993,8463
1/02/2017,AL-13:C,244,415,25,1/12/1993,8491
1/03/2017,AL-13:C,338,328,35,1/12/1993,8522
1/04/2017,AL-13:C,349,360,65,1/12/1993,8552
1/05/2017,AL-13:C,385,328,52,1/12/1993,8583
1/06/2017,AL-13:C,405,287,40,1/12/1993,8613
1/07/2017,AL-13:C,322,274,39,1/12/1993,8644
1/08/2017,AL-13:C,306,284,30,1/12/1993,8675
1/09/2017,AL-13:C,358,267,34,1/12/1993,8705
1/10/2017,AL-13:C,379,266,48,1/12/1993,8736
1/11/2017,AL-13:C,386,260,54,1/12/1993,8766
1/12/2017,AL-13:C,343,252,35,1/12/1993,8797
1/01/2018,AL-13:C,346,191,733,1/12/1993,8828
1/02/2018,AL-13:C,329,274,33,1/12/1993,8856
1/03/2018,AL-13:C,389,254,139,1/12/1993,8887
1/04/2018,AL-13:C,364,406,86,1/12/1993,8917
1/05/2018,AL-13:C,306,550,33,1/12/1993,8948
1/06/2018,AL-13:C,341,790,52,1/12/1993,8978
1/07/2018,AL-13:C,346,618,65,1/12/1993,9009
1/08/2018,AL-13:C,370,742,28,1/12/1993,9040
1/09/2018,AL-13:C,371,610,30,1/12/1993,9070
1/10/2018,AL-13:C,402,392,30,1/12/1993,9101
1/11/2018,AL-13:C,370,393,29,1/12/1993,9131
1/12/2018,AL-13:C,311,400,30,1/12/1993,9162
1/01/2019,AL-13:C,435,767,31,1/12/1993,9193
1/02/2019,AL-13:C,302,672,23,1/12/1993,9221
1/03/2019,AL-13:C,369,692,57,1/12/1993,9252
1/04/2019,AL-13:C,346,624,53,1/12/1993,9282
1/05/2019,AL-13:C,340,759,29,1/12/1993,9313
1/06/2019,AL-13:C,354,714,50,1/12/1993,9343
1/07/2019,AL-13:C,382,758,54,1/12/1993,9374
1/08/2019,AL-13:C,385,804,72,1/12/1993,9405
1/09/2019,AL-13:C,380,826,49,1/12/1993,9435
1/10/2019,AL-13:C,363,800,57,1/12/1993,9466
1/11/2019,AL-13:C,384,918,53,1/12/1993,9496
1/12/2019,AL-13:C,392,374,63,1/12/1993,9527
1/01/2020,AL-13:C,313,368,58,1/12/1993,9558
1/11/1980,AL-14:B,10405,2964,104,1/11/1980,30
1/12/1980,AL-14:B,5593,1799,,1/11/1980,61
1/01/1981,AL-14:B,3756,1325,,1/11/1980,92
1/02/1981,AL-14:B,3333,1767,20,1/11/1980,120
1/03/1981,AL-14:B,4586,4979,62,1/11/1980,151
1/04/1981,AL-14:B,3488,3460,30,1/11/1980,181
1/05/1981,AL-14:B,3426,3313,31,1/11/1980,212
1/06/1981,AL-14:B,2622,2441,30,1/11/1980,242
1/07/1981,AL-14:B,3152,3314,30,1/11/1980,273
1/08/1981,AL-14:B,3492,3099,31,1/11/1980,304
1/09/1981,AL-14:B,2712,2295,28,1/11/1980,334
1/10/1981,AL-14:B,2291,2647,31,1/11/1980,365
1/11/1981,AL-14:B,2738,2664,30,1/11/1980,395
1/12/1981,AL-14:B,1526,2913,,1/11/1980,426
1/01/1982,AL-14:B,1394,2930,,1/11/1980,457
1/02/1982,AL-14:B,1950,1431,,1/11/1980,485
1/03/1982,AL-14:B,730,936,,1/11/1980,516
1/04/1982,AL-14:B,2407,2673,,1/11/1980,546
1/05/1982,AL-14:B,2938,3676,,1/11/1980,577
1/06/1982,AL-14:B,4206,4438,,1/11/1980,607
1/07/1982,AL-14:B,1696,2393,,1/11/1980,638
1/08/1982,AL-14:B,1262,1720,,1/11/1980,669
1/09/1982,AL-14:B,1331,1625,,1/11/1980,699
1/10/1982,AL-14:B,2123,2811,,1/11/1980,730
1/11/1982,AL-14:B,1419,2026,,1/11/1980,760
1/12/1982,AL-14:B,2721,3488,,1/11/1980,791
1/01/1983,AL-14:B,707,1599,,1/11/1980,822
1/02/1983,AL-14:B,,,,1/11/1980,822
1/03/1983,AL-14:B,,,,1/11/1980,822
1/04/1983,AL-14:B,,,,1/11/1980,822
1/05/1983,AL-14:B,,,,1/11/1980,822
1/06/1983,AL-14:B,,,,1/11/1980,822
1/07/1983,AL-14:B,,,,1/11/1980,822
1/08/1983,AL-14:B,,,,1/11/1980,822
1/09/1983,AL-14:B,,,,1/11/1980,822
1/10/1983,AL-14:B,843,701,,1/11/1980,853
1/11/1983,AL-14:B,1656,1092,,1/11/1980,883
1/12/1983,AL-14:B,2315,1758,,1/11/1980,914
1/01/1984,AL-14:B,1805,2094,,1/11/1980,945
1/02/1984,AL-14:B,1205,719,,1/11/1980,974
1/03/1984,AL-14:B,1278,1157,,1/11/1980,1005
1/04/1984,AL-14:B,1343,1378,,1/11/1980,1035
1/05/1984,AL-14:B,1300,487,,1/11/1980,1066
1/06/1984,AL-14:B,1434,1285,,1/11/1980,1096
1/07/1984,AL-14:B,1365,1400,,1/11/1980,1127
1/08/1984,AL-14:B,1412,1793,,1/11/1980,1158
1/09/1984,AL-14:B,1144,1915,,1/11/1980,1188
1/10/1984,AL-14:B,902,1524,,1/11/1980,1219
1/11/1984,AL-14:B,1404,2620,90,1/11/1980,1249
1/12/1984,AL-14:B,1292,1112,90,1/11/1980,1280
1/01/1985,AL-14:B,925,891,62,1/11/1980,1311
1/02/1985,AL-14:B,666,733,,1/11/1980,1339
1/03/1985,AL-14:B,1159,1122,,1/11/1980,1370
1/04/1985,AL-14:B,1602,1229,,1/11/1980,1400
1/05/1985,AL-14:B,1032,485,,1/11/1980,1431
1/06/1985,AL-14:B,1061,809,,1/11/1980,1461
1/07/1985,AL-14:B,1055,825,,1/11/1980,1492
1/08/1985,AL-14:B,1655,1459,,1/11/1980,1523
1/09/1985,AL-14:B,685,753,,1/11/1980,1553
1/10/1985,AL-14:B,703,969,,1/11/1980,1584
1/11/1985,AL-14:B,446,667,,1/11/1980,1614
1/12/1985,AL-14:B,668,748,,1/11/1980,1645
1/01/1986,AL-14:B,844,1630,,1/11/1980,1676
1/02/1986,AL-14:B,675,861,,1/11/1980,1704
1/03/1986,AL-14:B,1323,2420,,1/11/1980,1735
1/04/1986,AL-14:B,971,1844,,1/11/1980,1765
1/05/1986,AL-14:B,1154,1915,,1/11/1980,1796
1/06/1986,AL-14:B,448,696,,1/11/1980,1826
1/07/1986,AL-14:B,793,1247,,1/11/1980,1857
1/08/1986,AL-14:B,670,1540,,1/11/1980,1888
1/09/1986,AL-14:B,446,1097,,1/11/1980,1918
1/10/1986,AL-14:B,996,1780,92,1/11/1980,1949
1/11/1986,AL-14:B,1410,3729,120,1/11/1980,1979
1/12/1986,AL-14:B,1230,2557,93,1/11/1980,2010
1/01/1987,AL-14:B,1278,2457,124,1/11/1980,2041
1/02/1987,AL-14:B,821,2380,550,1/11/1980,2069
1/03/1987,AL-14:B,798,2175,494,1/11/1980,2100
1/04/1987,AL-14:B,1102,2815,675,1/11/1980,2130
1/05/1987,AL-14:B,1211,3373,600,1/11/1980,2161
1/06/1987,AL-14:B,920,1832,690,1/11/1980,2191
1/07/1987,AL-14:B,933,1737,775,1/11/1980,2222
1/08/1987,AL-14:B,811,1510,580,1/11/1980,2253
1/09/1987,AL-14:B,673,1219,448,1/11/1980,2283
1/10/1987,AL-14:B,654,1926,465,1/11/1980,2314
1/11/1987,AL-14:B,677,2389,480,1/11/1980,2344
1/12/1987,AL-14:B,823,2479,434,1/11/1980,2375
1/01/1988,AL-14:B,688,1576,372,1/11/1980,2406
1/02/1988,AL-14:B,555,1253,364,1/11/1980,2435
1/03/1988,AL-14:B,675,1280,279,1/11/1980,2466
1/04/1988,AL-14:B,622,1473,203,1/11/1980,2496
1/05/1988,AL-14:B,840,2129,93,1/11/1980,2527
1/06/1988,AL-14:B,746,1915,90,1/11/1980,2557
1/07/1988,AL-14:B,917,1890,217,1/11/1980,2588
1/08/1988,AL-14:B,1063,1687,217,1/11/1980,2619
1/09/1988,AL-14:B,881,1025,174,1/11/1980,2649
1/10/1988,AL-14:B,877,1100,186,1/11/1980,2680
1/11/1988,AL-14:B,998,874,180,1/11/1980,2710
1/12/1988,AL-14:B,924,919,217,1/11/1980,2741
1/01/1989,AL-14:B,767,1155,180,1/11/1980,2772
1/02/1989,AL-14:B,616,628,144,1/11/1980,2800
1/03/1989,AL-14:B,819,781,144,1/11/1980,2831
1/04/1989,AL-14:B,708,653,150,1/11/1980,2861
1/05/1989,AL-14:B,570,858,124,1/11/1980,2892
1/06/1989,AL-14:B,533,822,120,1/11/1980,2922
1/07/1989,AL-14:B,509,1043,124,1/11/1980,2953
1/08/1989,AL-14:B,387,1003,93,1/11/1980,2984
1/09/1989,AL-14:B,483,109,120,1/11/1980,3014
1/10/1989,AL-14:B,847,471,186,1/11/1980,3045
1/11/1989,AL-14:B,582,471,150,1/11/1980,3075
1/12/1989,AL-14:B,589,584,155,1/11/1980,3106
1/01/1990,AL-14:B,373,54,93,1/11/1980,3137
1/02/1990,AL-14:B,444,245,105,1/11/1980,3165
1/03/1990,AL-14:B,502,293,124,1/11/1980,3196
1/04/1990,AL-14:B,550,142,174,1/11/1980,3226
1/05/1990,AL-14:B,517,53,155,1/11/1980,3257
1/06/1990,AL-14:B,574,812,150,1/11/1980,3287
1/07/1990,AL-14:B,399,433,87,1/11/1980,3318
1/08/1990,AL-14:B,293,193,87,1/11/1980,3349
1/09/1990,AL-14:B,432,121,104,1/11/1980,3379
1/10/1990,AL-14:B,373,54,84,1/11/1980,3410
1/11/1990,AL-14:B,343,39,90,1/11/1980,3440
1/12/1990,AL-14:B,528,54,186,1/11/1980,3471
1/01/1991,AL-14:B,703,641,217,1/11/1980,3502
1/02/1991,AL-14:B,496,283,196,1/11/1980,3530
1/03/1991,AL-14:B,450,213,155,1/11/1980,3561
1/04/1991,AL-14:B,447,336,140,1/11/1980,3591
1/05/1991,AL-14:B,398,70,186,1/11/1980,3622
1/06/1991,AL-14:B,510,406,210,1/11/1980,3652
1/07/1991,AL-14:B,504,449,217,1/11/1980,3683
1/08/1991,AL-14:B,419,1174,217,1/11/1980,3714
1/09/1991,AL-14:B,304,725,120,1/11/1980,3744
1/10/1991,AL-14:B,315,714,124,1/11/1980,3775
1/11/1991,AL-14:B,489,1224,210,1/11/1980,3805
1/12/1991,AL-14:B,346,866,155,1/11/1980,3836
1/01/1992,AL-14:B,290,951,124,1/11/1980,3867
1/02/1992,AL-14:B,361,569,145,1/11/1980,3896
1/03/1992,AL-14:B,323,1820,145,1/11/1980,3927
1/04/1992,AL-14:B,108,515,35,1/11/1980,3957
1/05/1992,AL-14:B,322,762,232,1/11/1980,3988
1/06/1992,AL-14:B,336,1022,140,1/11/1980,4018
1/07/1992,AL-14:B,235,802,121,1/11/1980,4049
1/08/1992,AL-14:B,198,,17,1/11/1980,4080
1/09/1992,AL-14:B,,,,1/11/1980,4080
1/10/1992,AL-14:B,,,,1/11/1980,4080
1/11/1992,AL-14:B,372,302,64,1/11/1980,4110
1/12/1992,AL-14:B,186,402,83,1/11/1980,4141
1/01/1993,AL-14:B,,195,,1/11/1980,4141
1/02/1993,AL-14:B,305,198,,1/11/1980,4169
1/03/1993,AL-14:B,284,190,92,1/11/1980,4200
1/04/1993,AL-14:B,201,102,,1/11/1980,4230
1/05/1993,AL-14:B,485,384,105,1/11/1980,4261
1/06/1993,AL-14:B,337,911,,1/11/1980,4291
1/07/1993,AL-14:B,284,284,,1/11/1980,4322
1/08/1993,AL-14:B,265,296,,1/11/1980,4353
1/09/1993,AL-14:B,234,267,,1/11/1980,4383
1/10/1993,AL-14:B,341,328,,1/11/1980,4414
1/11/1993,AL-14:B,395,328,,1/11/1980,4444
1/12/1993,AL-14:B,344,336,,1/11/1980,4475
1/01/1994,AL-14:B,267,208,21,1/11/1980,4506
1/02/1994,AL-14:B,285,204,29,1/11/1980,4534
1/03/1994,AL-14:B,326,213,32,1/11/1980,4565
1/04/1994,AL-14:B,276,222,101,1/11/1980,4595
1/05/1994,AL-14:B,265,202,,1/11/1980,4626
1/06/1994,AL-14:B,273,190,,1/11/1980,4656
1/07/1994,AL-14:B,210,200,33,1/11/1980,4687
1/08/1994,AL-14:B,448,171,,1/11/1980,4718
1/09/1994,AL-14:B,379,201,,1/11/1980,4748
1/10/1994,AL-14:B,241,215,,1/11/1980,4779
1/11/1994,AL-14:B,199,181,,1/11/1980,4809
1/12/1994,AL-14:B,225,201,,1/11/1980,4840
1/01/1995,AL-14:B,229,285,,1/11/1980,4871
1/02/1995,AL-14:B,193,222,25,1/11/1980,4899
1/03/1995,AL-14:B,225,298,24,1/11/1980,4930
1/04/1995,AL-14:B,133,295,67,1/11/1980,4960
1/05/1995,AL-14:B,205,290,23,1/11/1980,4991
1/06/1995,AL-14:B,156,272,,1/11/1980,5021
1/07/1995,AL-14:B,198,260,,1/11/1980,5052
1/08/1995,AL-14:B,193,270,,1/11/1980,5083
1/09/1995,AL-14:B,182,260,,1/11/1980,5113
1/10/1995,AL-14:B,285,290,,1/11/1980,5144
1/11/1995,AL-14:B,240,287,,1/11/1980,5174
1/12/1995,AL-14:B,198,255,,1/11/1980,5205
1/01/1996,AL-14:B,200,260,29,1/11/1980,5236
1/02/1996,AL-14:B,203,260,,1/11/1980,5265
1/03/1996,AL-14:B,286,290,,1/11/1980,5296
1/04/1996,AL-14:B,217,265,33,1/11/1980,5326
1/05/1996,AL-14:B,231,252,33,1/11/1980,5357
1/06/1996,AL-14:B,228,272,,1/11/1980,5387
1/07/1996,AL-14:B,246,250,,1/11/1980,5418
1/08/1996,AL-14:B,257,260,33,1/11/1980,5449
1/09/1996,AL-14:B,312,270,,1/11/1980,5479
1/10/1996,AL-14:B,289,275,,1/11/1980,5510
1/11/1996,AL-14:B,265,305,,1/11/1980,5540
1/12/1996,AL-14:B,278,308,,1/11/1980,5571
1/01/1997,AL-14:B,304,320,36,1/11/1980,5602
1/02/1997,AL-14:B,279,343,,1/11/1980,5630
1/03/1997,AL-14:B,278,312,,1/11/1980,5661
1/04/1997,AL-14:B,249,315,39,1/11/1980,5691
1/05/1997,AL-14:B,272,326,,1/11/1980,5722
1/06/1997,AL-14:B,238,321,,1/11/1980,5752
1/07/1997,AL-14:B,236,316,,1/11/1980,5783
1/08/1997,AL-14:B,232,375,,1/11/1980,5814
1/09/1997,AL-14:B,246,360,,1/11/1980,5844
1/10/1997,AL-14:B,228,412,,1/11/1980,5875
1/11/1997,AL-14:B,250,330,,1/11/1980,5905
1/12/1997,AL-14:B,275,369,,1/11/1980,5936
1/01/1998,AL-14:B,211,458,,1/11/1980,5967
1/02/1998,AL-14:B,237,306,,1/11/1980,5995
1/03/1998,AL-14:B,192,322,,1/11/1980,6026
1/04/1998,AL-14:B,220,328,,1/11/1980,6056
1/05/1998,AL-14:B,247,332,52,1/11/1980,6087
1/06/1998,AL-14:B,189,412,47,1/11/1980,6117
1/07/1998,AL-14:B,225,302,26,1/11/1980,6148
1/08/1998,AL-14:B,257,353,30,1/11/1980,6179
1/09/1998,AL-14:B,183,404,136,1/11/1980,6209
1/10/1998,AL-14:B,208,445,58,1/11/1980,6240
1/11/1998,AL-14:B,203,442,55,1/11/1980,6270
1/12/1998,AL-14:B,220,444,25,1/11/1980,6301
1/01/1999,AL-14:B,245,459,,1/11/1980,6332
1/02/1999,AL-14:B,236,428,,1/11/1980,6360
1/03/1999,AL-14:B,214,443,,1/11/1980,6391
1/04/1999,AL-14:B,283,443,,1/11/1980,6421
1/05/1999,AL-14:B,246,458,,1/11/1980,6452
1/06/1999,AL-14:B,236,427,,1/11/1980,6482
1/07/1999,AL-14:B,165,292,28,1/11/1980,6513
1/08/1999,AL-14:B,152,220,,1/11/1980,6544
1/09/1999,AL-14:B,202,295,,1/11/1980,6574
1/10/1999,AL-14:B,184,310,,1/11/1980,6605
1/11/1999,AL-14:B,211,251,,1/11/1980,6635
1/12/1999,AL-14:B,213,480,,1/11/1980,6666
1/01/2000,AL-14:B,214,526,30,1/11/1980,6697
1/02/2000,AL-14:B,209,525,,1/11/1980,6726
1/03/2000,AL-14:B,215,558,,1/11/1980,6757
1/04/2000,AL-14:B,208,546,33,1/11/1980,6787
1/05/2000,AL-14:B,220,565,,1/11/1980,6818
1/06/2000,AL-14:B,193,540,29,1/11/1980,6848
1/07/2000,AL-14:B,196,536,,1/11/1980,6879
1/08/2000,AL-14:B,195,546,32,1/11/1980,6910
1/09/2000,AL-14:B,190,528,,1/11/1980,6940
1/10/2000,AL-14:B,190,536,,1/11/1980,6971
1/11/2000,AL-14:B,195,447,,1/11/1980,7001
1/12/2000,AL-14:B,210,465,,1/11/1980,7032
1/01/2001,AL-14:B,219,479,24,1/11/1980,7063
1/02/2001,AL-14:B,173,479,30,1/11/1980,7091
1/03/2001,AL-14:B,196,525,,1/11/1980,7122
1/04/2001,AL-14:B,220,530,,1/11/1980,7152
1/05/2001,AL-14:B,229,525,,1/11/1980,7183
1/06/2001,AL-14:B,208,497,,1/11/1980,7213
1/07/2001,AL-14:B,190,538,,1/11/1980,7244
1/08/2001,AL-14:B,197,538,33,1/11/1980,7275
1/09/2001,AL-14:B,171,401,29,1/11/1980,7305
1/10/2001,AL-14:B,184,398,31,1/11/1980,7336
1/11/2001,AL-14:B,176,380,34,1/11/1980,7366
1/12/2001,AL-14:B,190,236,68,1/11/1980,7397
1/01/2002,AL-14:B,189,272,34,1/11/1980,7428
1/02/2002,AL-14:B,167,166,,1/11/1980,7456
1/03/2002,AL-14:B,188,244,,1/11/1980,7487
1/04/2002,AL-14:B,184,223,,1/11/1980,7517
1/05/2002,AL-14:B,176,224,,1/11/1980,7548
1/06/2002,AL-14:B,177,211,,1/11/1980,7578
1/07/2002,AL-14:B,200,214,35,1/11/1980,7609
1/08/2002,AL-14:B,155,222,76,1/11/1980,7640
1/09/2002,AL-14:B,161,252,,1/11/1980,7670
1/10/2002,AL-14:B,138,243,33,1/11/1980,7701
1/11/2002,AL-14:B,184,235,30,1/11/1980,7731
1/12/2002,AL-14:B,213,243,,1/11/1980,7762
1/01/2003,AL-14:B,182,280,,1/11/1980,7793
1/02/2003,AL-14:B,180,253,26,1/11/1980,7821
1/03/2003,AL-14:B,152,271,30,1/11/1980,7852
1/04/2003,AL-14:B,198,271,27,1/11/1980,7882
1/05/2003,AL-14:B,194,280,,1/11/1980,7913
1/06/2003,AL-14:B,163,267,33,1/11/1980,7943
1/07/2003,AL-14:B,159,276,34,1/11/1980,7974
1/07/1983,AL-15:A,1903,2302,135,1/07/1983,31
1/08/1983,AL-15:A,2478,3711,300,1/07/1983,62
1/09/1983,AL-15:A,2399,2491,403,1/07/1983,92
1/10/1983,AL-15:A,2894,2610,450,1/07/1983,123
1/11/1983,AL-15:A,2913,2146,434,1/07/1983,153
1/12/1983,AL-15:A,3274,2755,496,1/07/1983,184
1/01/1984,AL-15:A,2753,2061,442,1/07/1983,215
1/02/1984,AL-15:A,2557,1980,372,1/07/1983,244
1/03/1984,AL-15:A,2264,1823,300,1/07/1983,275
1/04/1984,AL-15:A,1896,558,279,1/07/1983,305
1/05/1984,AL-15:A,2400,2095,330,1/07/1983,336
1/06/1984,AL-15:A,2396,2514,372,1/07/1983,366
1/07/1984,AL-15:A,1982,2582,286,1/07/1983,397
1/08/1984,AL-15:A,2485,4148,360,1/07/1983,428
1/09/1984,AL-15:A,2368,3815,310,1/07/1983,458
1/10/1984,AL-15:A,2147,3839,240,1/07/1983,489
1/11/1984,AL-15:A,2277,1884,310,1/07/1983,519
1/12/1984,AL-15:A,1994,2133,261,1/07/1983,550
1/01/1985,AL-15:A,1116,1286,170,1/07/1983,581
1/02/1985,AL-15:A,1521,1538,264,1/07/1983,609
1/03/1985,AL-15:A,1987,1650,348,1/07/1983,640
1/04/1985,AL-15:A,1957,1487,420,1/07/1983,670
1/05/1985,AL-15:A,1545,1155,364,1/07/1983,701
1/06/1985,AL-15:A,1312,1114,338,1/07/1983,731
1/07/1985,AL-15:A,1207,1128,310,1/07/1983,762
1/08/1985,AL-15:A,1195,1311,270,1/07/1983,793
1/09/1985,AL-15:A,1457,1946,310,1/07/1983,823
1/10/1985,AL-15:A,1470,1679,260,1/07/1983,854
1/11/1985,AL-15:A,1394,1280,273,1/07/1983,884
1/12/1985,AL-15:A,661,748,144,1/07/1983,915
1/01/1986,AL-15:A,1331,1459,336,1/07/1983,946
1/02/1986,AL-15:A,1081,1155,248,1/07/1983,974
1/03/1986,AL-15:A,999,1308,240,1/07/1983,1005
1/04/1986,AL-15:A,842,1040,217,1/07/1983,1035
1/05/1986,AL-15:A,885,915,243,1/07/1983,1066
1/06/1986,AL-15:A,819,838,240,1/07/1983,1096
1/07/1986,AL-15:A,1360,1531,162,1/07/1983,1127
1/08/1986,AL-15:A,1151,696,60,1/07/1983,1158
1/09/1986,AL-15:A,961,830,93,1/07/1983,1188
1/10/1986,AL-15:A,954,926,130,1/07/1983,1219
1/11/1986,AL-15:A,937,1928,124,1/07/1983,1249
1/12/1986,AL-15:A,796,1965,250,1/07/1983,1280
1/01/1987,AL-15:A,554,924,414,1/07/1983,1311
1/02/1987,AL-15:A,730,751,522,1/07/1983,1339
1/03/1987,AL-15:A,710,745,480,1/07/1983,1370
1/04/1987,AL-15:A,855,578,496,1/07/1983,1400
1/05/1987,AL-15:A,597,709,504,1/07/1983,1431
1/06/1987,AL-15:A,650,818,594,1/07/1983,1461
1/07/1987,AL-15:A,719,632,620,1/07/1983,1492
1/08/1987,AL-15:A,450,597,340,1/07/1983,1523
1/09/1987,AL-15:A,907,973,720,1/07/1983,1553
1/10/1987,AL-15:A,628,707,486,1/07/1983,1584
1/11/1987,AL-15:A,829,992,598,1/07/1983,1614
1/12/1987,AL-15:A,875,793,513,1/07/1983,1645
1/01/1988,AL-15:A,789,706,575,1/07/1983,1676
1/02/1988,AL-15:A,1007,762,448,1/07/1983,1705
1/03/1988,AL-15:A,936,893,273,1/07/1983,1736
1/04/1988,AL-15:A,634,653,754,1/07/1983,1766
1/05/1988,AL-15:A,581,626,660,1/07/1983,1797
1/06/1988,AL-15:A,650,713,667,1/07/1983,1827
1/07/1988,AL-15:A,577,779,682,1/07/1983,1858
1/08/1988,AL-15:A,815,687,650,1/07/1983,1889
1/09/1988,AL-15:A,820,501,360,1/07/1983,1919
1/10/1988,AL-15:A,955,483,378,1/07/1983,1950
1/11/1988,AL-15:A,1053,529,406,1/07/1983,1980
1/12/1988,AL-15:A,490,287,198,1/07/1983,2011
1/01/1989,AL-15:A,669,478,252,1/07/1983,2042
1/02/1989,AL-15:A,991,470,300,1/07/1983,2070
1/03/1989,AL-15:A,1047,416,330,1/07/1983,2101
1/04/1989,AL-15:A,783,485,270,1/07/1983,2131
1/05/1989,AL-15:A,838,383,308,1/07/1983,2162
1/06/1989,AL-15:A,667,417,230,1/07/1983,2192
1/07/1989,AL-15:A,433,310,162,1/07/1983,2223
1/08/1989,AL-15:A,483,55,210,1/07/1983,2254
1/09/1989,AL-15:A,656,304,240,1/07/1983,2284
1/10/1989,AL-15:A,628,269,270,1/07/1983,2315
1/11/1989,AL-15:A,765,389,279,1/07/1983,2345
1/12/1989,AL-15:A,860,57,310,1/07/1983,2376
1/01/1990,AL-15:A,733,177,224,1/07/1983,2407
1/02/1990,AL-15:A,613,162,200,1/07/1983,2435
1/03/1990,AL-15:A,652,77,273,1/07/1983,2466
1/04/1990,AL-15:A,160,7,88,1/07/1983,2496
1/05/1990,AL-15:A,475,298,216,1/07/1983,2527
1/06/1990,AL-15:A,374,170,152,1/07/1983,2557
1/07/1990,AL-15:A,388,110,160,1/07/1983,2588
1/08/1990,AL-15:A,809,96,308,1/07/1983,2619
1/09/1990,AL-15:A,903,55,361,1/07/1983,2649
1/10/1990,AL-15:A,844,40,330,1/07/1983,2680
1/11/1990,AL-15:A,456,17,217,1/07/1983,2710
1/12/1990,AL-15:A,844,282,341,1/07/1983,2741
1/01/1991,AL-15:A,293,58,133,1/07/1983,2772
1/02/1991,AL-15:A,372,59,145,1/07/1983,2800
1/03/1991,AL-15:A,631,151,240,1/07/1983,2831
1/04/1991,AL-15:A,291,15,140,1/07/1983,2861
1/05/1991,AL-15:A,398,26,180,1/07/1983,2892
1/06/1991,AL-15:A,444,28,182,1/07/1983,2922
1/07/1991,AL-15:A,709,133,360,1/07/1983,2953
1/08/1991,AL-15:A,588,86,260,1/07/1983,2984
1/09/1991,AL-15:A,679,81,310,1/07/1983,3014
1/10/1991,AL-15:A,601,80,290,1/07/1983,3045
1/11/1991,AL-15:A,512,59,270,1/07/1983,3075
1/12/1991,AL-15:A,368,44,198,1/07/1983,3106
1/01/1992,AL-15:A,233,12,100,1/07/1983,3137
1/02/1992,AL-15:A,169,30,72,1/07/1983,3166
1/03/1992,AL-15:A,585,63,280,1/07/1983,3197
1/04/1992,AL-15:A,392,19,280,1/07/1983,3227
1/05/1992,AL-15:A,209,12,90,1/07/1983,3258
1/06/1992,AL-15:A,892,121,272,1/07/1983,3288
1/07/1992,AL-15:A,490,295,31,1/07/1983,3319
1/08/1992,AL-15:A,646,259,339,1/07/1983,3350
1/09/1992,AL-15:A,409,221,435,1/07/1983,3380
1/10/1992,AL-15:A,87,225,318,1/07/1983,3411
1/11/1992,AL-15:A,,,,1/07/1983,3411
1/12/1992,AL-15:A,,,,1/07/1983,3411
1/01/1993,AL-15:A,158,105,347,1/07/1983,3442
1/02/1993,AL-15:A,485,120,291,1/07/1983,3470
1/03/1993,AL-15:A,474,160,643,1/07/1983,3501
1/04/1993,AL-15:A,660,87,410,1/07/1983,3531
1/05/1993,AL-15:A,889,225,244,1/07/1983,3562
1/06/1993,AL-15:A,700,346,437,1/07/1983,3592
